symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ICICIPRULI,EQ,22-Jan-2025,635.55,620.0,620.0,572.0,598.0,598.05,582.92,"1,31,89,131","7,68,82,15,337.30","1,45,360","45,76,702",34.7
ICICIPRULI,EQ,23-Jan-2025,598.05,595.0,603.4,590.55,593.0,594.7,597.04,"8,89,946","53,13,35,094.35","27,384","4,13,601",46.47
ICICIPRULI,EQ,24-Jan-2025,594.7,595.0,600.85,586.9,590.0,590.5,592.55,"15,67,073","92,85,72,801.65","38,777","8,54,799",54.55
ICICIPRULI,EQ,27-Jan-2025,590.5,589.45,590.35,582.25,588.85,589.05,586.74,"4,11,561","24,14,79,791.10","23,192","1,69,079",41.08
ICICIPRULI,EQ,28-Jan-2025,589.05,589.05,603.55,585.65,601.0,600.3,596.47,"6,36,251","37,95,05,483.15","42,719","2,90,867",45.72
ICICIPRULI,EQ,29-Jan-2025,600.3,603.0,611.35,598.95,604.05,606.8,607.21,"7,60,118","46,15,48,503.40","38,908","3,91,639",51.52
ICICIPRULI,EQ,30-Jan-2025,606.8,607.0,617.0,601.05,610.0,611.4,609.79,"5,55,935","33,90,03,451.60","36,500","1,53,109",27.54
ICICIPRULI,EQ,31-Jan-2025,611.4,610.0,620.95,607.6,617.05,616.0,615.57,"5,36,251","33,00,99,366.15","18,367","2,54,771",47.51
ICICIPRULI,EQ,01-Feb-2025,616.0,613.15,643.2,569.0,606.0,606.0,603.69,"34,51,517","2,08,36,46,032.80","1,39,854","11,12,739",32.24
ICICIPRULI,EQ,03-Feb-2025,606.0,605.95,618.9,600.3,603.8,604.65,608.31,"10,11,490","61,53,00,255.35","38,363","4,31,535",42.66
ICICIPRULI,EQ,04-Feb-2025,604.65,609.0,611.45,600.0,609.0,606.95,606.4,"9,25,652","56,13,14,412.20","22,912","6,86,040",74.11
ICICIPRULI,EQ,05-Feb-2025,606.95,609.4,614.7,602.55,604.9,605.25,607.43,"7,50,646","45,59,68,184.55","30,730","4,40,494",58.68
ICICIPRULI,EQ,06-Feb-2025,605.25,606.0,609.85,597.9,599.75,599.95,602.14,"5,96,337","35,90,79,855.25","20,157","3,81,753",64.02
ICICIPRULI,EQ,07-Feb-2025,599.95,603.0,605.6,592.05,599.85,600.05,599.26,"10,46,797","62,73,00,097.65","24,696","8,08,842",77.27
ICICIPRULI,EQ,10-Feb-2025,600.05,603.0,608.95,585.15,585.6,587.85,591.78,"6,49,320","38,42,56,533.95","24,107","3,90,805",60.19
ICICIPRULI,EQ,11-Feb-2025,587.85,587.85,590.8,569.55,574.75,574.8,576.1,"4,98,876","28,74,00,717.00","23,494","2,36,843",47.48
ICICIPRULI,EQ,12-Feb-2025,574.8,575.0,589.0,563.45,576.65,579.8,578.77,"9,27,101","53,65,82,733.35","43,331","4,02,004",43.36
ICICIPRULI,EQ,13-Feb-2025,579.8,579.8,594.4,578.85,591.15,590.85,590.43,"7,72,099","45,58,66,896.35","29,991","4,79,147",62.06
ICICIPRULI,EQ,14-Feb-2025,590.85,593.35,597.75,580.0,580.0,582.45,588.49,"7,12,329","41,91,99,157.85","40,737","3,33,594",46.83
ICICIPRULI,EQ,17-Feb-2025,582.45,580.0,581.95,567.9,575.05,575.2,572.93,"9,94,049","56,95,18,835.45","55,956","6,29,201",63.3
ICICIPRULI,EQ,18-Feb-2025,575.2,572.2,578.2,566.2,571.05,573.2,571.89,"7,20,799","41,22,15,044.35","29,867","4,93,885",68.52
ICICIPRULI,EQ,19-Feb-2025,573.2,570.65,579.65,568.25,575.0,576.0,575.04,"11,20,833","64,45,22,507.40","23,806","8,78,693",78.4
ICICIPRULI,EQ,20-Feb-2025,576.0,575.85,580.35,572.55,575.0,574.8,576.21,"10,09,089","58,14,48,885.00","34,745","6,77,580",67.15
ICICIPRULI,EQ,21-Feb-2025,574.8,574.1,579.4,570.05,573.9,574.0,573.33,"15,74,753","90,28,52,501.20","39,921","11,41,314",72.48
ICICIPRULI,EQ,24-Feb-2025,574.0,571.0,573.0,563.4,566.2,566.4,568.32,"3,17,787","18,06,05,301.55","18,264","1,61,360",50.78
ICICIPRULI,EQ,25-Feb-2025,566.4,566.0,569.5,560.1,567.3,566.7,565.42,"5,83,632","32,99,98,986.45","26,588","3,42,907",58.75
ICICIPRULI,EQ,27-Feb-2025,566.7,565.0,571.9,555.25,556.0,559.75,564.55,"18,02,194","1,01,74,34,704.95","49,299","11,24,528",62.4
ICICIPRULI,EQ,28-Feb-2025,559.75,560.05,574.75,548.3,550.0,551.6,553.22,"19,96,851","1,10,47,05,505.95","82,613","12,19,912",61.09
ICICIPRULI,EQ,03-Mar-2025,551.6,552.1,556.95,544.15,555.85,554.25,551.56,"12,50,103","68,95,07,819.85","76,884","7,73,727",61.89
ICICIPRULI,EQ,04-Mar-2025,554.25,553.75,554.05,543.4,549.0,547.75,547.61,"18,54,779","1,01,57,04,023.75","27,077","13,35,452",72.0
ICICIPRULI,EQ,05-Mar-2025,547.75,545.0,557.0,545.0,551.85,550.05,551.5,"28,64,688","1,57,98,65,842.50","35,836","21,43,016",74.81
ICICIPRULI,EQ,06-Mar-2025,550.05,555.0,558.45,547.9,549.5,550.15,550.78,"10,50,646","57,86,76,448.75","33,981","5,73,762",54.61
ICICIPRULI,EQ,07-Mar-2025,550.15,550.1,554.7,545.0,549.35,549.55,548.88,"10,63,618","58,37,99,524.25","32,498","5,45,006",51.24
ICICIPRULI,EQ,10-Mar-2025,549.55,552.4,554.05,542.0,542.0,544.65,548.67,"8,83,327","48,46,56,834.70","51,091","5,35,602",60.63
ICICIPRULI,EQ,11-Mar-2025,544.65,542.0,548.8,535.1,545.85,546.15,543.07,"10,49,509","56,99,56,536.70","45,058","6,41,017",61.08
ICICIPRULI,EQ,12-Mar-2025,546.15,544.0,547.7,535.25,545.0,544.9,542.19,"13,72,563","74,41,95,690.90","29,812","9,37,709",68.32
ICICIPRULI,EQ,13-Mar-2025,544.9,550.0,550.0,535.0,536.0,536.6,540.03,"4,29,559","23,19,75,088.75","19,178","2,19,315",51.06
ICICIPRULI,EQ,17-Mar-2025,536.6,537.05,550.8,537.0,548.8,548.65,546.36,"7,01,993","38,35,39,616.25","60,545","4,23,162",60.28
ICICIPRULI,EQ,18-Mar-2025,548.65,550.8,556.65,549.2,553.0,552.85,553.3,"8,34,611","46,17,90,354.70","26,201","5,52,403",66.19
ICICIPRULI,EQ,19-Mar-2025,552.85,553.2,565.75,552.25,564.6,563.0,559.91,"14,49,130","81,13,77,502.40","49,948","10,13,418",69.93
ICICIPRULI,EQ,20-Mar-2025,563.0,565.0,581.85,565.0,579.05,578.2,576.04,"8,63,268","49,72,79,478.35","29,829","4,02,590",46.64
ICICIPRULI,EQ,21-Mar-2025,578.2,579.65,584.4,576.6,582.0,581.4,580.47,"11,22,260","65,14,38,995.40","24,692","7,62,927",67.98
ICICIPRULI,EQ,24-Mar-2025,581.4,582.1,600.9,580.8,598.85,596.85,595.39,"14,34,961","85,43,66,253.60","42,552","7,26,140",50.6
ICICIPRULI,EQ,25-Mar-2025,596.85,601.0,606.25,587.6,591.9,592.25,595.12,"11,62,392","69,17,63,310.30","39,119","5,95,917",51.27
ICICIPRULI,EQ,26-Mar-2025,592.25,592.25,599.5,583.2,589.0,588.75,589.18,"8,89,494","52,40,68,749.65","33,477","4,97,060",55.88
ICICIPRULI,EQ,27-Mar-2025,588.75,585.0,594.45,580.4,590.0,591.4,586.99,"27,78,093","1,63,07,03,305.50","45,545","21,04,982",75.77
ICICIPRULI,EQ,28-Mar-2025,591.4,589.2,593.8,560.85,565.45,564.35,574.33,"19,19,467","1,10,24,10,086.15","67,879","10,43,844",54.38
ICICIPRULI,EQ,01-Apr-2025,564.35,564.0,573.15,560.5,571.1,569.05,569.44,"12,14,007","69,13,01,049.30","44,379","7,39,509",60.91
ICICIPRULI,EQ,02-Apr-2025,569.05,569.65,570.6,557.6,563.55,563.35,562.12,"13,34,457","75,01,31,635.40","34,915","7,70,284",57.72
ICICIPRULI,EQ,03-Apr-2025,563.35,563.45,567.05,559.55,565.0,562.85,562.09,"28,03,358","1,57,57,47,975.15","37,995","21,48,677",76.65
ICICIPRULI,EQ,04-Apr-2025,562.85,565.8,567.85,553.0,556.5,556.8,558.16,"5,21,545","29,11,03,810.10","18,083","1,72,100",33.0
ICICIPRULI,EQ,07-Apr-2025,556.8,532.4,546.5,525.8,539.0,536.9,534.74,"16,74,902","89,56,35,373.25","64,194","8,70,836",51.99
ICICIPRULI,EQ,08-Apr-2025,536.9,542.9,560.95,542.3,556.45,557.0,552.43,"19,30,327","1,06,63,71,153.30","32,284","13,29,679",68.88
ICICIPRULI,EQ,09-Apr-2025,557.0,557.0,572.0,554.05,570.65,568.85,566.67,"13,72,096","77,75,29,253.95","25,013","7,86,836",57.35
ICICIPRULI,EQ,11-Apr-2025,568.85,571.5,576.05,550.65,551.0,552.95,561.3,"30,84,159","1,73,11,48,369.25","51,879","21,19,983",68.74
ICICIPRULI,EQ,15-Apr-2025,552.95,552.95,572.55,545.3,572.5,567.15,560.26,"37,36,880","2,09,36,39,991.25","65,638","18,46,686",49.42
ICICIPRULI,EQ,16-Apr-2025,567.15,581.0,602.25,576.15,584.65,586.3,590.39,"92,36,976","5,45,33,88,287.85","1,59,036","17,93,472",19.42
ICICIPRULI,EQ,17-Apr-2025,586.3,584.5,598.95,579.45,595.65,595.65,592.01,"19,11,286","1,13,15,06,454.75","50,081","6,78,214",35.48
ICICIPRULI,EQ,21-Apr-2025,595.65,602.0,609.0,591.25,601.1,602.9,602.93,"22,65,294","1,36,58,06,381.15","66,271","14,81,085",65.38
ICICIPRULI,EQ,22-Apr-2025,602.9,603.0,610.95,599.25,599.8,600.95,604.19,"17,61,010","1,06,39,75,831.40","41,442","11,01,550",62.55
ICICIPRULI,EQ,23-Apr-2025,600.95,602.05,609.75,590.55,604.0,607.0,597.78,"29,47,373","1,76,18,94,958.45","62,151","19,65,659",66.69
ICICIPRULI,EQ,24-Apr-2025,607.0,609.0,610.0,600.0,600.45,602.35,603.24,"6,49,984","39,20,94,909.25","30,749","3,39,078",52.17
ICICIPRULI,EQ,25-Apr-2025,602.35,607.0,618.6,585.0,591.8,595.8,599.31,"18,61,383","1,11,55,37,375.05","36,617","10,28,409",55.25
ICICIPRULI,EQ,28-Apr-2025,595.8,590.25,607.0,590.25,603.0,602.6,600.32,"7,30,997","43,88,33,377.65","25,055","4,07,017",55.68
ICICIPRULI,EQ,29-Apr-2025,602.6,607.0,609.1,599.2,606.0,605.25,603.14,"10,32,408","62,26,82,831.45","30,270","6,22,898",60.33
ICICIPRULI,EQ,30-Apr-2025,605.25,603.8,621.9,601.3,613.0,614.35,614.65,"12,38,587","76,12,94,251.20","35,168","5,97,900",48.27
ICICIPRULI,EQ,02-May-2025,614.35,615.0,619.65,606.25,607.2,608.95,611.33,"5,87,287","35,90,25,313.30","25,221","3,27,395",55.75
ICICIPRULI,EQ,05-May-2025,608.95,609.1,613.8,605.6,610.55,612.2,610.57,"4,37,619","26,71,94,948.30","12,652","2,04,648",46.76
ICICIPRULI,EQ,06-May-2025,612.2,612.2,616.7,590.2,593.65,592.65,597.49,"4,51,754","26,99,16,500.85","18,231","1,91,728",42.44
ICICIPRULI,EQ,07-May-2025,592.65,583.2,597.25,583.2,590.3,592.0,592.42,"5,48,882","32,51,70,394.15","24,954","2,31,516",42.18
ICICIPRULI,EQ,08-May-2025,592.0,594.4,595.75,578.6,579.0,582.4,588.07,"6,01,296","35,36,06,251.20","22,290","3,31,368",55.11
ICICIPRULI,EQ,09-May-2025,582.4,571.0,582.85,570.95,582.0,581.2,577.79,"5,17,496","29,90,04,688.30","21,967","2,42,053",46.77
ICICIPRULI,EQ,12-May-2025,581.2,592.8,605.15,591.1,604.25,604.0,601.08,"5,17,861","31,12,76,769.40","15,001","2,22,371",42.94
ICICIPRULI,EQ,13-May-2025,604.0,607.9,610.45,602.0,604.65,603.65,605.91,"4,00,154","24,24,58,109.25","15,193","1,50,397",37.58
ICICIPRULI,EQ,14-May-2025,603.65,605.2,609.8,602.0,607.0,608.25,606.76,"4,76,527","28,91,36,911.75","25,677","2,26,754",47.58
