symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HAVELLS,EQ,09-May-2025,"1,537.20","1,513.10","1,551.70","1,513.10","1,545.10","1,548.30","1,539.39","7,43,978","1,14,52,75,012.80","77,997","4,18,848",56.3
HAVELLS,EQ,08-May-2025,"1,579.10","1,578.10","1,584.60","1,526.50","1,529.00","1,537.20","1,547.28","8,01,061","1,23,94,67,062.10","41,163","4,44,206",55.45
HAVELLS,EQ,07-May-2025,"1,580.40","1,558.00","1,589.30","1,555.50","1,580.00","1,579.10","1,579.31","3,43,957","54,32,13,488.30","28,592","1,55,692",45.26
HAVELLS,EQ,06-May-2025,"1,582.30","1,585.00","1,592.00","1,576.00","1,580.10","1,580.40","1,583.41","7,23,699","1,14,59,08,632.90","46,595","4,48,766",62.01
HAVELLS,EQ,05-May-2025,"1,567.00","1,571.90","1,590.00","1,568.20","1,579.30","1,582.30","1,580.90","6,72,439","1,06,30,56,689.40","31,461","3,72,433",55.39
HAVELLS,EQ,02-May-2025,"1,601.00","1,586.00","1,596.20","1,556.60","1,562.80","1,567.00","1,578.37","14,92,921","2,35,63,86,245.40","60,680","8,32,545",55.77
HAVELLS,EQ,30-Apr-2025,"1,622.80","1,618.20","1,621.10","1,593.80","1,601.00","1,601.00","1,603.37","9,11,924","1,46,21,52,023.60","46,475","5,98,366",65.62
HAVELLS,EQ,29-Apr-2025,"1,609.60","1,610.60","1,633.00","1,610.60","1,622.00","1,622.80","1,622.85","8,95,483","1,45,32,37,212.30","36,876","4,91,689",54.91
HAVELLS,EQ,28-Apr-2025,"1,599.80","1,599.80","1,615.00","1,590.80","1,605.80","1,609.60","1,605.11","7,70,118","1,23,61,21,675.10","28,463","4,27,982",55.57
HAVELLS,EQ,25-Apr-2025,"1,604.60","1,613.00","1,618.70","1,573.30","1,596.00","1,599.80","1,593.99","20,10,475","3,20,46,78,452.10","71,528","12,27,843",61.07
HAVELLS,EQ,24-Apr-2025,"1,612.00","1,623.00","1,623.00","1,586.00","1,605.00","1,604.60","1,598.97","15,94,861","2,55,01,27,045.80","71,626","6,70,627",42.05
HAVELLS,EQ,23-Apr-2025,"1,664.70","1,640.00","1,640.00","1,583.40","1,613.00","1,612.00","1,614.11","49,12,430","7,92,91,85,797.60","1,54,695","20,20,624",41.13
HAVELLS,EQ,22-Apr-2025,"1,647.20","1,657.20","1,673.80","1,644.70","1,669.90","1,664.70","1,659.71","9,26,695","1,53,80,42,621.20","48,685","3,95,040",42.63
HAVELLS,EQ,21-Apr-2025,"1,638.50","1,640.00","1,662.30","1,631.00","1,654.40","1,647.20","1,649.12","9,17,439","1,51,29,70,821.70","34,175","5,00,100",54.51
HAVELLS,EQ,17-Apr-2025,"1,613.90","1,613.60","1,646.80","1,609.00","1,632.80","1,638.50","1,636.65","14,68,556","2,40,35,05,036.70","78,320","8,38,042",57.07
HAVELLS,EQ,16-Apr-2025,"1,571.70","1,576.00","1,626.00","1,563.20","1,611.00","1,613.90","1,607.80","11,02,376","1,77,24,04,948.00","77,845","4,71,011",42.73
HAVELLS,EQ,15-Apr-2025,"1,532.85","1,529.10","1,577.60","1,499.50","1,567.10","1,571.70","1,550.16","18,78,333","2,91,17,07,897.80","87,054","9,19,361",48.95
HAVELLS,EQ,11-Apr-2025,"1,469.70","1,458.05","1,537.70","1,458.05","1,527.70","1,532.85","1,518.18","10,19,197","1,54,73,28,952.25","51,362","4,32,024",42.39
HAVELLS,EQ,09-Apr-2025,"1,463.15","1,466.00","1,479.10","1,451.00","1,465.60","1,469.70","1,467.34","4,41,153","64,73,21,536.35","30,358","2,46,099",55.79
HAVELLS,EQ,08-Apr-2025,"1,456.10","1,456.10","1,474.45","1,447.50","1,468.00","1,463.15","1,462.14","12,32,475","1,80,20,47,458.00","73,785","7,39,132",59.97
HAVELLS,EQ,07-Apr-2025,"1,469.25","1,397.00","1,461.50","1,389.50","1,461.00","1,456.10","1,436.78","8,57,804","1,23,24,77,038.20","54,995","4,82,807",56.28
HAVELLS,EQ,04-Apr-2025,"1,518.70","1,505.00","1,516.10","1,456.05","1,467.00","1,469.25","1,476.07","7,53,027","1,11,15,23,584.70","42,221","3,71,215",49.3
HAVELLS,EQ,03-Apr-2025,"1,510.45","1,485.10","1,528.00","1,485.10","1,515.20","1,518.70","1,516.07","4,52,802","68,64,81,531.00","26,972","2,36,346",52.2
HAVELLS,EQ,02-Apr-2025,"1,501.30","1,504.75","1,519.55","1,484.15","1,512.95","1,510.45","1,504.44","8,02,612","1,20,74,78,744.15","47,638","4,92,319",61.34
HAVELLS,EQ,01-Apr-2025,"1,528.90","1,515.00","1,517.80","1,488.85","1,500.00","1,501.30","1,504.13","7,23,671","1,08,84,93,965.55","45,305","4,31,373",59.61
HAVELLS,EQ,28-Mar-2025,"1,515.35","1,520.90","1,543.60","1,513.55","1,521.90","1,528.90","1,529.18","7,51,781","1,14,96,12,198.70","43,049","4,48,048",59.6
HAVELLS,EQ,27-Mar-2025,"1,493.00","1,484.75","1,528.50","1,479.50","1,521.30","1,515.35","1,506.90","10,77,299","1,62,33,85,156.60","49,648","5,93,704",55.11
HAVELLS,EQ,26-Mar-2025,"1,477.25","1,472.50","1,504.55","1,470.50","1,491.45","1,493.00","1,493.12","10,27,318","1,53,39,05,060.80","52,196","5,63,576",54.86
