symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SUZLON,EQ,25-Mar-2026,41.04,41.5,42.85,41.43,42.23,42.27,42.44,"7,60,79,784","3,22,84,73,765.47","1,24,425","3,16,40,072",41.59
SUZLON,EQ,24-Mar-2026,39.94,41.3,41.3,39.95,41.12,41.04,40.74,"6,54,40,981","2,66,61,75,518.75","1,02,084","2,25,12,189",34.40
SUZLON,EQ,23-Mar-2026,41.95,41.76,41.76,39.7,39.95,39.94,40.28,"6,81,92,562","2,74,69,83,506.63","1,24,692","2,72,66,653",39.98
SUZLON,EQ,20-Mar-2026,41.09,41.4,42.73,41.34,41.93,41.95,42.18,"7,19,60,845","3,03,52,08,428.95","95,866","2,61,48,512",36.34
SUZLON,EQ,19-Mar-2026,42.06,41.2,41.79,40.82,41.29,41.09,41.31,"5,55,93,734","2,29,63,13,741.29","91,640","1,69,77,565",30.54
SUZLON,EQ,18-Mar-2026,41.27,41.34,42.3,41.21,42.07,42.06,41.84,"5,84,27,254","2,44,44,57,299.32","98,726","2,02,79,541",34.71
SUZLON,EQ,17-Mar-2026,41.01,41.5,41.6,40.51,41.26,41.27,41.1,"7,04,23,021","2,89,41,17,970.33","93,988","2,08,55,186",29.61
SUZLON,EQ,16-Mar-2026,41.41,41.49,42.23,40.72,41.0,41.01,41.29,"8,12,66,796","3,35,51,67,804.34","1,23,358","2,07,72,249",25.56
SUZLON,EQ,13-Mar-2026,42.43,42.42,42.83,40.98,41.64,41.41,41.61,"7,94,97,665","3,30,76,89,125.67","1,15,332","2,24,19,983",28.20
SUZLON,EQ,12-Mar-2026,41.62,41.51,43.54,40.93,42.53,42.43,42.56,"10,84,32,510","4,61,47,14,717.16","1,48,694","2,65,93,557",24.53
SUZLON,EQ,11-Mar-2026,41.45,41.72,42.06,41.4,41.67,41.62,41.69,"6,41,89,593","2,67,63,84,584.46","1,01,962","2,35,04,151",36.62
SUZLON,EQ,10-Mar-2026,39.62,40.38,41.64,40.0,41.53,41.45,40.87,"7,08,66,917","2,89,65,15,796.79","1,12,561","2,52,14,139",35.58
SUZLON,EQ,09-Mar-2026,39.99,39.49,39.76,38.19,39.71,39.62,39.02,"7,17,21,599","2,79,86,51,235.57","1,23,478","2,52,38,974",35.19
SUZLON,EQ,06-Mar-2026,40.25,40.25,40.99,39.85,39.99,39.99,40.38,"6,30,58,597","2,54,64,64,165.96","1,08,217","2,21,44,402",35.12
SUZLON,EQ,05-Mar-2026,39.93,40.25,40.64,39.22,40.3,40.25,39.86,"8,91,73,308","3,55,47,30,187.88","1,41,838","3,23,25,575",36.25
SUZLON,EQ,04-Mar-2026,40.95,40.2,40.55,39.7,39.92,39.93,40.09,"7,11,13,339","2,85,06,42,893.92","1,40,273","3,08,99,943",43.45
SUZLON,EQ,02-Mar-2026,42.67,39.13,41.79,39.13,41.0,40.95,40.89,"11,60,13,965","4,74,40,70,234.30","1,65,218","4,80,85,048",41.45
SUZLON,EQ,27-Feb-2026,43.27,43.27,43.3,42.45,42.65,42.67,42.74,"8,57,24,851","3,66,41,79,212.30","1,00,772","5,12,21,997",59.75
SUZLON,EQ,26-Feb-2026,43.18,43.18,43.9,42.87,43.34,43.27,43.32,"4,98,00,911","2,15,73,62,624.07","87,981","2,12,57,739",42.69
SUZLON,EQ,25-Feb-2026,44.13,44.34,44.74,42.6,43.23,43.18,43.37,"7,58,39,738","3,28,92,04,668.80","1,33,474","2,88,33,837",38.02
SUZLON,EQ,24-Feb-2026,44.25,44.25,44.39,43.36,44.35,44.13,43.88,"5,65,68,697","2,48,23,34,514.65","1,00,043","2,42,90,413",42.94
SUZLON,EQ,23-Feb-2026,44.46,44.56,44.96,43.83,44.32,44.25,44.29,"4,94,42,100","2,18,97,08,363.93","1,03,381","2,20,34,268",44.57
SUZLON,EQ,20-Feb-2026,45.25,45.2,45.35,44.26,44.38,44.46,44.73,"6,16,47,383","2,75,77,05,460.30","1,06,047","3,10,93,182",50.44
